prey_mse,prey_mae,prey_r2,predator_mse,predator_mae,predator_r2
1.0107817157543022e-15,2.5663375847750914e-08,0.9999999999999963,1.157592351207861e-15,2.636432648694953e-08,0.9999999999999966
1.0561211634881793e-15,2.4967193602565276e-08,0.9999999999999964,1.0152820093548353e-15,2.3462772367754958e-08,0.999999999999998
1.1853398968763803e-15,2.562046050036404e-08,0.9999999999999962,1.802894190457923e-15,2.985715866266059e-08,0.9999999999999979
5.170059442013516e-15,4.6178102513505516e-08,0.9999999999999987,1.3597814798396215e-14,7.151961327417356e-08,0.9999999999999993
6.840105013725433e-16,2.071857452268233e-08,0.9999999999999635,8.809865902645913e-16,2.4833679196367697e-08,0.9999999999999394
9.870908004310084e-16,2.4101734157622178e-08,0.9999999999999938,1.1164427953619723e-15,2.53671407673961e-08,0.9999999999999974
9.415630590950441e-16,2.470612526256355e-08,0.9999999999999941,7.160483052379498e-16,2.2039413451191425e-08,0.9999999999999956
7.751282280708245e-16,2.2435188293812303e-08,0.9999999999999785,8.644087755479354e-16,2.460956572858386e-08,0.9999999999999588
2.0786137619827326e-15,3.5190582280408834e-08,0.9999999999999969,2.0031325229408796e-15,3.4289360058004094e-08,0.9999999999999969
5.1117886756639176e-15,4.492402075451096e-08,0.9999999999999982,4.582216922102028e-15,4.428982736365272e-08,0.999999999999998
7.191978714167173e-15,5.311131480500997e-08,0.9999999999999991,1.600007802992205e-07,4.0074377059937936e-05,0.9999999887407761
1.4113834356085193e-15,2.8033256528336992e-08,0.9999999999999954,8.646838980014073e-16,2.4795532229671123e-08,0.999999999999995
7.670712420822679e-16,2.261638641531949e-08,0.9999999999999896,9.01671341736496e-16,2.330303191605543e-08,0.9999999999999964
2.0710711467510416e-14,6.998836994967506e-08,0.9999999999999987,1.2415719813491605e-14,6.589710709756225e-08,0.9999999999999987
4.660185506827144e-16,1.9383430533148617e-08,0.9999999999999891,3.05485443220649e-11,1.3246399151087968e-06,0.9999999999999989
8.793335834918566e-16,2.4390220640935213e-08,0.9999999999999916,7.797711986129152e-16,2.308368683090478e-08,0.9999999999999848
2.1959601775657155e-15,3.676891326243048e-08,0.9999999999999978,2.5002810839557334e-15,3.6780834207217336e-08,0.9999999999999978
1.3047065296311173e-15,2.553939819960327e-08,0.999999999999996,9.997712711813948e-09,1.0027072429665829e-05,0.9999999782982234
8.413055642900415e-15,5.690097811039685e-08,0.9999999999999989,5.361093562488619e-14,1.192796230423121e-07,0.999999999999999
7.684798219993919e-16,2.1920204161807178e-08,0.9999999999999951,1.208043157799694e-15,2.899646758036667e-08,0.9999999999999946
1.1066720161441312e-15,2.6040077210076617e-08,0.9999999999999956,6.421146278994763e-16,2.1042823792338794e-08,0.999999999999994
1.0809948771701587e-14,6.450891493148259e-08,0.9999999999999992,7.904955621957919e-15,5.4972171776856985e-08,0.9999999999999989
1.7569095712418667e-15,3.1733512900200545e-08,0.9999999999999968,2.088007988959641e-15,3.359556198567759e-08,0.9999999999999984
3.5460686839324755e-15,4.0879249585956675e-08,0.9999999999999978,1.662887428245833e-14,7.857084274309756e-08,0.9999999999999982
7.541055426236042e-16,2.106904983700808e-08,0.9999999999999946,9.179003875809428e-16,2.2065043457086818e-08,0.9999999999999978
7.031133007391592e-16,2.2101402281093918e-08,0.9999999999999896,8.97724703234507e-16,2.3934841152095653e-08,0.9999999999999933
4.475293167673818e-15,4.398584365739033e-08,0.9999999999999976,9.630995247528981e-15,5.815982820123189e-08,0.9999999999999986
4.063038547794079e-15,4.277944566033476e-08,0.9999999999999982,3.4302570378078873e-15,4.0307044970600005e-08,0.999999999999998
8.270205849461399e-16,2.318382263055696e-08,0.9999999999999902,9.48720923832013e-16,2.51173973048191e-08,0.9999999999999968
4.018510253575983e-15,4.259586334098842e-08,0.999999999999998,1.3287262858046869e-14,6.381988527259797e-08,0.9999999999999988
8.537864463316422e-16,2.403497696368273e-08,0.9999999999999893,7.910966811523514e-16,2.271652221108589e-08,0.9999999999999875
8.038080070722118e-16,2.375602722870518e-08,0.9999999999999922,1.60004197299139e-07,4.002690792083985e-05,0.9999991615291461
2.0302093155016738e-15,3.318786620409853e-08,0.999999999999998,4.3968014976797476e-15,4.556417463164042e-08,0.9999999999999979
7.345079210566951e-16,2.2315979002485164e-08,0.9999999999999684,9.26065695139442e-16,2.512931823184239e-08,0.999999999999922
9.321927335377491e-15,6.298542021498932e-08,0.9999999999999988,5.31935029200579e-15,4.701137542140188e-08,0.9999999999999977
8.302549762140576e-16,2.3775100712608575e-08,0.9999999999999896,7.836570142382812e-16,2.331733702232164e-08,0.9999999999999923
8.129609344485967e-16,2.3727417000074524e-08,0.9999999999999929,7.634344007901595e-16,2.3488998419640695e-08,0.9999999999999946
8.411643645771509e-16,2.449989318642487e-08,0.9999999999999813,9.715267874655998e-16,2.4909973145303967e-08,0.9999999999999868
1.0124927037157852e-15,2.5629997262299754e-08,0.9999999999999951,9.434347704287443e-16,2.4929046629207363e-08,0.9999999999999969
6.590886416002047e-16,2.1088123323687036e-08,0.999999999999992,7.903145157075817e-16,2.2926330562333953e-08,0.9999999999999879
2.1900501671454273e-15,3.3962726586067585e-08,0.9999999999999982,3.5999313540057975e-07,6.003176212310168e-05,0.9999994585977855
9.779614631419326e-16,2.4232864380691056e-08,0.9999999999999963,1.1746766402519472e-15,2.675771712534747e-08,0.9999999999999946
2.1163759817716797e-15,3.60488891604227e-08,0.9999999999999931,8.102711033219448e-16,2.4113655088253692e-08,0.9999999999999956
8.249668332752562e-16,2.1827220921810665e-08,0.9999999999999972,1.6000343589616162e-07,4.003394126891269e-05,0.9999998650175448
7.42597876658545e-16,2.260208130433483e-08,0.9999999999999883,9.00000000079955e-06,0.0003000239515304526,0.9997957610241227
1.807893567850157e-15,3.2081603996703125e-08,0.999999999999996,1.7837510316998498e-15,3.105163573935421e-08,0.9999999999999976
8.68313350493939e-16,2.3252964023168232e-08,0.9999999999999635,9.096197574709435e-16,2.56586074809384e-08,0.9999999999999245
7.289554559879555e-16,2.1286010739585136e-08,0.999999999999974,8.737015374666277e-16,2.4785995479392752e-08,0.9999999999999617
6.404167160731989e-16,1.874208451713155e-08,0.9999999999999728,8.751493408355489e-16,2.3286342631934076e-08,0.9999999999999589
7.364224075762645e-16,2.205848693925816e-08,0.999999999999929,6.574555300091522e-16,2.004623413487394e-08,0.9999999999998879
7.327025731149658e-16,2.185344694871638e-08,0.9999999999999953,8.805756123213484e-16,2.3758411406005208e-08,0.9999999999999952
7.981634553207981e-16,2.4185180665936558e-08,0.9999999999999933,1.01703392386869e-15,2.5784969335251874e-08,0.999999999999992
1.8667151368704426e-15,3.273010253268538e-08,0.999999999999997,4.900036729046712e-07,7.002635478973063e-05,0.9999987063054959
6.924335590411316e-16,2.0837783804017462e-08,0.9999999999999915,9.071362688162293e-16,2.410650254081048e-08,0.9999999999999939
8.84033397383563e-16,2.4957656857838018e-08,0.999999999999965,1.6000152667121652e-07,4.0023522377007345e-05,0.9999915248156818
2.5700592224457303e-15,3.729820249986915e-08,0.999999999999998,5.513784913137812e-15,4.7476291652470695e-08,0.9999999999999979
6.963352935252082e-16,2.086162569359118e-08,0.9999999999999758,7.004763354646866e-16,2.2432804122063387e-08,0.9999999999999731
1.6526212206404708e-15,3.15332412631486e-08,0.9999999999999977,2.0284403499844206e-15,3.3874511726761366e-08,0.9999999999999976
2.4511018629502404e-15,3.620147704053167e-08,0.9999999999999982,1.6847366174906024e-15,3.1008720401404235e-08,0.9999999999999967
9.05970410486902e-15,5.702495576798139e-08,0.9999999999999984,3.1940559235094163e-14,9.468555452751825e-08,0.9999999999999988
8.474366100771065e-16,2.3509263997745222e-08,0.9999999999999947,7.746754354074507e-16,2.222239971580442e-08,0.9999999999999967
1.1602655269950127e-14,6.320714951213447e-08,0.9999999999999989,1.805770409407258e-14,8.159875869107048e-08,0.9999999999999989
8.854408407032523e-16,2.5029182437741327e-08,0.9999999999999869,4.900046737262716e-07,7.00217914581236e-05,0.9999878811728046
1.4960465915234296e-15,2.8865337359240684e-08,0.9999999999999976,8.163410718043603e-15,5.1126480116181486e-08,0.9999999999999983
8.482012958720907e-16,2.3589134215407093e-08,0.9999999999999934,8.943261784447262e-16,2.2431612022866254e-08,0.9999999999999971
8.313310218129862e-16,2.2656917569863212e-08,0.999999999999993,7.616495168729166e-16,2.2740364077344922e-08,0.9999999999999918
1.713427678799128e-13,1.9120812413647715e-07,0.9999999999999988,1.6634751885523407e-13,1.901936531156778e-07,0.9999999999999984
8.495538854095926e-16,2.4449825296590788e-08,0.9999999999999951,8.652727956697536e-16,2.3579597474565618e-08,0.9999999999999953
7.92563241786797e-16,2.2740364078455144e-08,0.9999999999999745,6.681807462287422e-16,2.1834373472584545e-08,0.9999999999999718
8.289907783367399e-16,2.4023056035549216e-08,0.9999999999999906,7.540097613405005e-16,2.2444725037429336e-08,0.999999999999982
9.245746924682366e-16,2.523660659670135e-08,0.9999999999999907,9.13929056679976e-16,2.3090839385009333e-08,0.9999999999999937
9.357463168986123e-15,5.664169787700235e-08,0.9999999999999994,1.472307701594047e-14,7.27891922119861e-08,0.999999999999999
2.0174047667739257e-15,3.314971922852017e-08,0.9999999999999956,3.9999619590978165e-08,2.0025877952575266e-05,0.9999998169330176
2.582443414422972e-15,3.4112930291929634e-08,0.9999999999999981,1.7820337923583766e-15,3.2494068154531594e-08,0.999999999999997
8.563203273144853e-15,5.664348605660674e-08,0.9999999999999986,3.302584162632327e-15,3.97729873821695e-08,0.9999999999999992
6.418986230678095e-16,2.0093917843522212e-08,0.9999999999999911,7.645996899548502e-16,2.17080116293733e-08,0.9999999999999948
9.579616745706593e-16,2.6388168334889883e-08,0.999999999999914,8.080951369433094e-16,2.3183822623895624e-08,0.9999999999998437
4.5637722221875746e-14,1.1749744417144382e-07,0.9999999999999989,6.418100611180024e-15,5.3114891053196446e-08,0.999999999999999
4.178775312499744e-14,1.1319756504313272e-07,0.999999999999999,3.678223004248189e-14,1.0393500328498284e-07,0.999999999999999
8.642831870164778e-16,2.3530125615733865e-08,0.999999999999987,4.610378706023418e-15,4.010677336241386e-08,0.9999999999999974
2.4326184198406117e-14,8.390605446176313e-08,0.9999999999999988,5.294289436893568e-14,1.2182354918233162e-07,0.9999999999999986
7.861467569445813e-16,2.302646637364347e-08,0.9999999999999908,8.251481625517886e-16,2.3479461659370316e-08,0.999999999999975
1.3494519639902962e-15,2.7081966404440828e-08,0.9999999999999963,1.870732262774805e-15,3.244161606019702e-08,0.9999999999999964
7.452194953150362e-16,2.33125686688318e-08,0.9999999999999934,8.754932420013292e-16,2.5272369382767222e-08,0.9999999999999928
5.4320057139096985e-15,4.827022554804161e-08,0.9999999999999984,3.3204202071131655e-15,3.824949264541466e-08,0.9999999999999987
1.6704234442099203e-15,3.002166747756441e-08,0.999999999999996,1.396720109605248e-15,2.6531219486924938e-08,0.9999999999999961
1.421806454942833e-14,6.735205650421072e-08,0.9999999999999991,4.788225421006834e-15,4.264712333543197e-08,0.9999999999999987
1.3895260061706927e-15,2.929687500596856e-08,0.9999999999999937,9.723657959050258e-16,2.637386321446833e-08,0.9999999999999907
2.4269530750062193e-15,3.512144088613223e-08,0.9999999999999979,2.779844978345006e-15,3.5192966458819085e-08,0.9999999999999986
8.5263764093499e-16,2.39086151210266e-08,0.9999999999999807,7.905214257851256e-16,2.2892951959674336e-08,0.9999999999999634
9.330938154485187e-16,2.633571625221265e-08,0.9999999999999724,7.819676286078734e-16,2.2740364082896035e-08,0.9999999999999545
1.9261017321370052e-15,3.3464431767882274e-08,0.9999999999999963,1.6348474208753228e-15,3.0021667474233735e-08,0.9999999999999972
1.797832283332034e-15,3.159046172873658e-08,0.9999999999999977,1.6511125982000894e-15,3.007411957356432e-08,0.9999999999999974
2.9210650586845307e-15,3.8414001455322474e-08,0.9999999999999982,4.6501997984239984e-15,4.4116973884067437e-08,0.999999999999998
1.845647262680167e-15,3.297090531373392e-08,0.9999999999999967,2.5262249893049305e-15,3.516197204456173e-08,0.9999999999999979
8.556594373215696e-16,2.388477325920846e-08,0.9999999999999932,7.339849621083036e-16,2.1924972538611698e-08,0.9999999999999879
9.100381243831702e-16,2.521991728898776e-08,0.9999999999999734,9.536529426713012e-16,2.56299972500873e-08,0.9999999999999784
1.287335890404211e-15,2.735018729410621e-08,0.999999999999996,1.4161813049637347e-15,2.62355804347969e-08,0.9999999999999966
9.006021165880017e-16,2.4065971370168525e-08,0.9999999999999941,8.989786696987249e-16,2.4285316470029627e-08,0.9999999999999931
4.010625504059864e-15,4.45723533609721e-08,0.9999999999999979,1.924504432349121e-15,3.293037415308397e-08,0.9999999999999966
